Movie,trunc,Release Date,Distributor,Genre
Princess Mononoke,Princess Mononoke,"Oct 29, 1999",,Action
The Eagle Huntress,The Eagle Huntress,"Nov 2, 2016",Sony Pictures Cla…,Documentary
Wonderstruck,Wonderstruck,"Oct 20, 2017",Roadside Attractions,Drama
Columbus,Columbus,"Aug 4, 2017",Superlative Films,Drama
Golmaal Again,Golmaal Again,"Oct 20, 2017",Reliance Entertai…,Comedy
Last Flag Flying,Last Flag Flying,"Nov 3, 2017",Amazon Studios,Comedy
Lucky,Lucky,"Sep 29, 2017",Magnolia Pictures,Drama
Landline,Landline,"Jul 21, 2017",Amazon Studios,Comedy
Tubelight,Tubelight,"Jun 23, 2017",Yash Raj Films,Adventure
The Red Turtle,The Red Turtle,"Jan 20, 2017",Sony Pictures Cla…,Adventure
Frantz,Frantz,"Mar 15, 2017",Music Box Films,Drama
Journey to the West: The De…,Journey to the West:,"Feb 3, 2017",Sony Pictures,Action
The Polar Express,The Polar Express,"Nov 10, 2004",Warner Bros.,Adventure
Jagga Jasoos,Jagga Jasoos,"Jul 14, 2017",UTV Communications,Adventure
Patti Cake$,Patti Cake$,"Aug 18, 2017",Fox Searchlight,Comedy
Neruda,Neruda,"Dec 16, 2016",The Orchard,Drama
Mark Felt: The Man Who Brou…,Mark Felt: The Man W,"Sep 29, 2017",Sony Pictures Cla…,Thriller/Suspense
Mubarakan,Mubarakan,"Jul 28, 2017",Sony Pictures,Romantic Comedy
May it Last: A Portrait of …,May it Last: A Portr,"Sep 12, 2017",Oscilloscope Pict…,Documentary
Toilet: Ek Prem Katha,Toilet: Ek Prem Kath,"Aug 11, 2017",Reliance Entertai…,Comedy
The Exception,The Exception,"Jun 2, 2017",A24,Drama
Maurice,Maurice,"Jan 1, 1987",Cohen Media Group,Drama
Titanic,Titanic,"Dec 19, 1997",Paramount Pictures,Drama
Lost in Paris,Lost in Paris,"Jun 16, 2017",Oscilloscope Pict…,Drama
The Devotion of Suspect X,The Devotion of Susp,"Mar 31, 2017",China Lion Film D…,Thriller/Suspense
Wilson,Wilson,"Mar 24, 2017",Fox Searchlight,Comedy
Along With The Gods: The Tw…,Along With The Gods:,"Dec 22, 2017",Well Go USA,Action
The Only Living Boy in New …,The Only Living Boy ,"Aug 11, 2017",Roadside Attractions,Drama
"Faces, Places","Faces, Places","Oct 6, 2017",Cohen Media Group,Documentary
The Midwife,The Midwife,"Jul 21, 2017",Music Box Films,Thriller/Suspense
Battle of Memories,Battle of Memories,"Apr 28, 2017",China Lion Film D…,Thriller/Suspense
Master,Master,"Jan 6, 2017",CJ Entertainment,Action
Tommy’s Honour,Tommy’s Honour,"Apr 14, 2017",Roadside Attractions,Drama
Novitiate,Novitiate,"Oct 27, 2017",Sony Pictures Cla…,Drama
Bitter Harvest,Bitter Harvest,"Feb 24, 2017",Roadside Attractions,Drama
Dolores,Dolores,"Sep 1, 2017",PBS Distribution,Documentary
Human Flow,Human Flow,"Oct 13, 2017",Amazon Studios,Documentary
Phantom Thread,Phantom Thread,"Dec 25, 2017",Focus Features,Drama
Under the Sea 3D,Under the Sea 3D,"Feb 13, 2009",Warner Bros.,Documentary
Fairy Tail: Dragon Cry,Fairy Tail: Dragon C,"Aug 14, 2017",FUNimation,Action
Brigsby Bear,Brigsby Bear,"Jul 28, 2017",Sony Pictures Cla…,Comedy
Raw,Raw,"Mar 10, 2017",Focus World,Horror
Shubh Mangal Saavdhan,Shubh Mangal Saavdha,"Sep 1, 2017",Eros Entertainment,Romantic Comedy
Allied,Allied,"Nov 23, 2016",Paramount Pictures,Drama
Breathe,Breathe,"Oct 13, 2017",Bleecker Street,Drama
Once Upon a Time,Once Upon a Time,"Aug 11, 2017",Well Go USA,Drama
Born to be Wild 3D,Born to be Wild 3D,"Apr 8, 2011",,Documentary
Nocturnal Animals,Nocturnal Animals,"Nov 18, 2016",Focus Features,Thriller/Suspense
Confidential Assignment,Confidential Assignm,"Feb 3, 2017",CJ Entertainment,Action
Beach Rats,Beach Rats,"Aug 25, 2017",Neon,Drama
Duckweed,Duckweed,"Feb 10, 2017",China Lion Film D…,Drama
Phillauri,Phillauri,"Mar 24, 2017",FIP,Black Comedy
Chasing the Dragon,Chasing the Dragon,"Sep 29, 2017",Well Go USA,Action
Song to Song,Song to Song,"Mar 17, 2017",Broad Green Pictures,Drama
Land of Mine,Land of Mine,"Feb 10, 2017",Sony Pictures Cla…,Thriller/Suspense
"Gentleman: Sundar, Susheel,…","Gentleman: Sundar, S","Aug 25, 2017",FIP,Action
"Love, Kennedy","Love, Kennedy","Jun 2, 2017",Purdie Distribution,Drama
Chasing Trane: The John Col…,Chasing Trane: The J,"Apr 14, 2017",Abramorama Films,Documentary
The Accountant,The Accountant,"Oct 14, 2016",Warner Bros.,Thriller/Suspense
The Rocky Horror Picture Show,The Rocky Horror Pic,"Sep 26, 1975",20th Century Fox,Musical
Rebel in the Rye,Rebel in the Rye,"Sep 8, 2017",IFC Films,Drama
Kung Fu Yoga,Kung Fu Yoga,"Jan 27, 2017",Well Go USA,Action
Ok Jaanu,Ok Jaanu,"Jan 13, 2017",FIP,Drama
Long Strange Trip: The Unto…,Long Strange Trip: T,"May 26, 2017",Abramorama Films,Documentary
Pearl Jam: Let’s Play Two,Pearl Jam: Let’s Pla,"Sep 29, 2017",Abramorama Films,Concert/Perfor…
This Is Not What I Expected,This Is Not What I E,"May 5, 2017",Well Go USA,Romantic Comedy
Letters from Baghdad,Letters from Baghdad,"Jun 2, 2017",Vitagraph Films,Documentary
Island of Lemurs: Madagascar,Island of Lemurs: Ma,"Apr 4, 2014",Warner Bros.,Documentary
Chuck,Chuck,"May 5, 2017",IFC Films,Action
Citizen Jane: Battle for th…,Citizen Jane: Battle,"Apr 21, 2017",IFC Films,Documentary
Obit,Obit,"Apr 26, 2017",Kino Lorber,Documentary
City of Rock,City of Rock,"Oct 6, 2017",Well Go USA,Musical
My Life as a Zucchini,My Life as a Zucchin,"Feb 24, 2017",GKIDS,Adventure
Tom of Finland,Tom of Finland,"Oct 13, 2017",Kino Lorber,Drama
God’s Own Country,God’s Own Country,"Oct 25, 2017",Samuel Goldwyn Films,Drama
Ittefaq,Ittefaq,"Nov 3, 2017",Red Chillies Ente…,Thriller/Suspense
Miss Peregrine’s Home for P…,Miss Peregrine’s Hom,"Sep 30, 2016",20th Century Fox,Adventure
Buddies in India,Buddies in India,"Jan 27, 2017",China Lion Film D…,Action
I Do…Until I Don’t,I Do…Until I Don’t,"Sep 1, 2017",Film Arcade,Comedy
After the Storm,After the Storm,"Mar 17, 2017",Film Movement,Drama
Stalker,Stalker,"May 5, 2017",Janus Films,Drama
Storks,Storks,"Sep 23, 2016",Warner Bros.,Adventure
Wakefield,Wakefield,"May 19, 2017",IFC Films,Drama
"I, Daniel Blake","I, Daniel Blake","Jun 2, 2017",IFC Films,Drama
Cézanne and I,Cézanne and I,"Mar 31, 2017",Magnolia Pictures,Drama
Dean,Dean,"Jun 2, 2017",CBS Films,Comedy
Gook,Gook,"Aug 18, 2017",Samuel Goldwyn Films,Drama
Band Aid,Band Aid,"Jun 2, 2017",IFC Films,Comedy
1945,1945,"Nov 1, 2017",Menemsha Entertai…,Drama
The Swindlers,The Swindlers,"Dec 1, 2017",Well Go USA,Thriller/Suspense
The Ottoman Lieutenant,The Ottoman Lieutena,"Mar 10, 2017",Paladin,Drama
Crown Heights,Crown Heights,"Aug 18, 2017",IFC Films,Drama
Jeremiah Tower: The Last Ma…,Jeremiah Tower: The ,"Apr 21, 2017",The Orchard,Documentary
Loving,Loving,"Nov 4, 2016",Focus Features,Drama
American Satan,American Satan,"Oct 13, 2017",AMC Independent,Thriller/Suspense
Rumble: The Indians who Roc…,Rumble: The Indians ,"Jul 26, 2017",Kino Lorber,Documentary
