link,Running Time,Franchise,Genre,Production Method,Creative Type,Production Countries,Languages,Release Date,MPAA Rating,Production/Financing Companies,Production Budget
https://www.the-numbers.com/movie/Rogue-One-A-Star-Wars-Story#tab=summary,134 minutes,Star Wars,Adventure,Animation/Live Action,Science Fiction,United States,English,"December 14, 2016","PG-13for extended sequences of sci-fi violence and action.(Rating bulletin 2452 (Cert #50667), 11/23/2016)",Lucasfilm,"$280,200,000"
https://www.the-numbers.com/movie/Finding-Dory#tab=summary,103 minutes,Finding Nemo,Adventure,Digital Animation,Kids Fiction,United States,English,"June 16, 2016","PGfor mild thematic elements.(Rating bulletin 2424 (Cert #50325), 5/11/2016)",Disney-Pixar,"$200,000,000"
https://www.the-numbers.com/movie/Zootopia-(2016)#tab=summary,108 minutes,Zootopia,Adventure,Digital Animation,Kids Fiction,United States,English,"February 10, 2016","PGfor some thematic elements, rude humor and action.(Rating bulletin 2405 (Cert #50201), 12/23/2015)","Walt Disney Pictures,Walt Disney Animation Studios","$150,000,000"
https://www.the-numbers.com/movie/Jungle-Book-The-(2016)#tab=summary,105 minutes,,Adventure,Animation/Live Action,Fantasy,United States,English,"April 07, 2016","PGfor some sequences of scary action and peril.(Rating bulletin 2410 (Cert #50254), 2/3/2016)","Walt Disney Pictures,Fairview Entertainment","$175,000,000"
https://www.the-numbers.com/movie/Secret-Life-of-Pets-The#tab=summary,91 minutes,The Secret Life of Pets,Adventure,Digital Animation,Kids Fiction,United States,English,"May 08, 2016","PGfor action and some rude humor.(Rating bulletin 2416 (Cert #50344), 3/16/2016)","Illumination Entertainment,Universal Pictures,Chris Meledandri,Dentsu Inc.,Fuji Television Network","$75,000,000"
https://www.the-numbers.com/movie/Batman-v-Superman-Dawn-of-Justice#tab=summary,151 minutes,Man of SteelSupermanBatmanDC Extended UniverseWonder Woman,Action,Live Action,Super Hero,United States,English,"March 23, 2016","PG-13for intense sequences of violence and action throughout, and some sensuality.(Rating bulletin 2393, 9/30/2015)","Warner Bros.,RatPac Entertainment,Dune Entertainment,Atlas Entertainment,Cruel and Unusual Films","$263,000,000"
https://www.the-numbers.com/movie/Fantastic-Beasts-and-Where-to-Find-Them#tab=summary,133 minutes,Harry PotterFantastic Beasts and Where to Find Them,Adventure,Animation/Live Action,Fantasy,United States,English,"November 14, 2016","PG-13for some fantasy action violence.(Rating bulletin 2440 (CErt #50647), 8/31/2016)","Warner Bros.,Heyday Films","$180,000,000"
https://www.the-numbers.com/movie/Deadpool#tab=summary,107 minutes,X-MenDeadpool,Action,Animation/Live Action,Super Hero,United States,English,"February 09, 2016","Rfor strong violence and language throughout, sexual content and graphic nudity.(Rating bulletin 2407 (Cert #49920), 1/13/2016)",Marvel Studios,"$58,000,000"
https://www.the-numbers.com/movie/Suicide-Squad#tab=summary,123 minutes,DC Extended Universe,Action,Animation/Live Action,Super Hero,United States,English,"August 02, 2016","PG-13for sequences of violence and action throughout, disturbing behavior, suggestive content and language.(Rating bulletin 2428 (Cert #50331), 6/8/2016)","Warner Bros.,RatPac Entertainment,Dune Entertainment,Atlas Entertainment,DC Films","$175,000,000"
https://www.the-numbers.com/movie/Moana-(2016)#tab=summary,113 minutes,Moana,Musical,Digital Animation,Kids Fiction,United States,English,"January 27, 2016","PGfor peril, some scary images and brief thematic elements.(Rating bulletin 2442 (Cert #50666), 9/14/2016)","Walt Disney Animation Studios,Walt Disney Pictures","$150,000,000"
