link,MPAA Rating,Running Time,Franchise,Genre,Production Method,Creative Type,Production/Financing Companies,Production Countries,Languages,Release Date,Production Budget
https://www.the-numbers.com/movie/Cinderella-(2015)#tab=summary,"PGfor mild thematic elements.(Rating bulletin 2334, 8/6/2014)",105 minutes,,Drama,Live Action,Fantasy,"Allison Shearmur,Beaglepug,Kinberg Genre",United States,English,"March 06, 2015","$95,000,000"
https://www.the-numbers.com/movie/Hotel-Transylvania-2#tab=summary,"PGfor some scary images, action and rude humor.(Rating bulletin 2386, 8/12/2015)",89 minutes,Hotel Transylvania,Adventure,Digital Animation,Kids Fiction,"Sony Pictures Animation,Columbia Pictures,LStar Capital",United States,English,"September 23, 2015","$80,000,000"
https://www.the-numbers.com/movie/San-Andreas#tab=summary,"PG-13for intense disaster action and mayhem throughout, and brief strong language.(Rating bulletin 2367, 4/1/2015)",114 minutes,,Adventure,Live Action,Science Fiction,"FPS,New Line Cinema,Village Roadshow Productions,RatPac Entertainment,Dune Entertainment",United States,English,"May 27, 2015","$110,000,000"
https://www.the-numbers.com/movie/Terminator-Genisys#tab=summary,"PG-13for intense sequences of sci -fi violence and gunplay throughout, partial nudity and 
brief strong language.(Rating bulletin 2378, 6/17/2015)",126 minutes,Terminator,Action,Live Action,Science Fiction,"Skydance Productions,Paramount Pictures",United States,English,"June 24, 2015","$155,000,000"
https://www.the-numbers.com/movie/Mad-Max-Fury-Road#tab=summary,"Rfor intense sequences of violence throughout, and for disturbing images.(Rating bulletin 2365, 3/18/2015)",120 minutes,Mad Max,Action,Live Action,Science Fiction,Kennedy Miller Mitchell Productions,United States,English,"May 14, 2015","$150,000,000"
https://www.the-numbers.com/movie/Zhuo-yao-ji-(China)-(2015)#tab=summary,Not Rated,118 minutes,Zhuo yao ji (Monster Hunt),Adventure,Live Action,Fantasy,"Edko Films,Wanda Media,Dream Sky Pictures,BDI Films Inc,China Film Group,Tianjin Lianrui Pictures Co",China,"Cantonese,Mandarin","July 12, 2015","$56,000,000"
https://www.the-numbers.com/movie/Maze-Runner-The-Scorch-Trials#tab=summary,PG-13,131 minutes,The Maze Runner,Action,Live Action,Science Fiction,"Gotham Group,Temple Hill Entertainment",United States,English,"September 09, 2015","$61,000,000"
https://www.the-numbers.com/movie/Divergent-Series-Insurgent-The#tab=summary,"PG-13for intense violence and action throughout, some sensuality, thematic elements and brief language.(Rating bulletin 2357, 1/21/2015)",118 minutes,The Divergent Series,Action,Live Action,Science Fiction,"Summit Entertainment,Red Wagon Entertainment,Mandeville Films",United States,English,"March 18, 2015","$110,000,000"
https://www.the-numbers.com/movie/Ghouls-The-(China)#tab=summary,Not Rated,124 minutes,,Adventure,Live Action,Fantasy,"Wanda Media,Shine Asia Media Company,Huayi Brothers Corp.,Beijing Enlight Pictures,China Film Company",China,Mandarin,"December 17, 2015","$37,000,000"
https://www.the-numbers.com/movie/Gang-jiong-(China)#tab=summary,Not Rated,113 minutes,Ren zai jiong tu Tai jiong,Comedy,Live Action,Contemporary Fiction,"Joy Leader,Beijing Enlight Pictures,Shannan Enlight Pictures Co.,Beijing Jinglin Saisi Culture Broadcast Company",China,"Mandarin,Cantonese","September 24, 2015",
https://www.the-numbers.com/movie/Spy#tab=summary,"Rfor language throughout, violence, and some sexual content including brief graphic nudity.(Rating bulletin 2365, 3/18/2015)",115 minutes,,Comedy,Live Action,Contemporary Fiction,"Chernin Entertainment,Feigco Entertainment",United States,English,"May 21, 2015","$65,000,000"
https://www.the-numbers.com/movie/Everest-(2015)#tab=summary,"PG-13for intense peril and disturbing images.(Rating bulletin 2364, 3/11/2015)",121 minutes,,Adventure,Live Action,Dramatization,"Working Title Films,Cross Creek Pictures,Walden Media,Universal Pictures,Free State Pictures,RVK","United States,United Kingdom",English,"August 17, 2015","$65,000,000"
https://www.the-numbers.com/movie/Xia-Luo-Te-Fan-Nao-(China)(2015)#tab=summary,Not Rated,98 minutes,,Romantic Comedy,Live Action,Science Fiction,"Beijing Mahua Funage Company,New Classics Pictures,Shenzhen Tencent Video Culture Communication LTD.,Wanda Media,Beijing Fun Age Pictures",China,Mandarin,"September 30, 2015",
https://www.the-numbers.com/movie/Jupiter-Ascending#tab=summary,"PG-13for some violence, sequences of sci-fi action, some suggestive content and partial nudity.(Rating bulletin 2353, 12/27/2014)",127 minutes,,Action,Live Action,Science Fiction,"Warner Bros.,Village Roadshow Productions,Anarchos Productions,RatPac Entertainment,Dune Entertainment",United States,English,"February 06, 2015","$179,000,000"
https://www.the-numbers.com/movie/Jian-Bing-Man-(China)#tab=summary,Not Rated,113 minutes,,Comedy,Live Action,Super Hero,"Wanda Media,Tianjin Golden Fox Culture,New Classic Media",China,Mandarin,"July 16, 2015",
https://www.the-numbers.com/movie/Focus-(2015)#tab=summary,"PG-13for language, some sexual content and brief violence.(Rating bulletin 2332, 7/23/2014)",105 minutes,,Comedy,Live Action,Contemporary Fiction,"Di Novi Pictures,Zaftig Films",United States,English,"February 26, 2015","$65,000,000"
