link,MPAA Rating,Running Time,Genre,Production Method,Creative Type,Production/Financing Companies,Production Countries,Languages,Release Date,Production Budget,Franchise
https://www.the-numbers.com/movie/Stillwater#tab=summary,"Rfor language.(Rating bulletin 2681 (cert #53225), 5/19/2021)",138 minutes,Drama,Live Action,Contemporary Fiction,"Participant Media,DreamWorks Pictures,Slow Pony Pictures,Anonymous Content,3dot Productions,Supernatural Pictures",United States,English,"July 29, 2021",,
https://www.the-numbers.com/movie/Story-of-Xi-Bao-The-(2020-China)#tab=summary,,112 minutes,Drama,Live Action,Contemporary Fiction,,China,Mandarin,"October 16, 2020",,
https://www.the-numbers.com/movie/Adieu-les-cons-(France)#tab=summary,,,Comedy,Live Action,Contemporary Fiction,"Gaumont,Manchester Films,Stadenn Productions",France,French,"October 21, 2020",,
https://www.the-numbers.com/movie/Hiteumaen-(S-korea)#tab=summary,,110 minutes,Action,Live Action,Contemporary Fiction,,Republic of Korea,Korean,"January 22, 2020",,
https://www.the-numbers.com/movie/I-Still-Believe-(2020)#tab=summary,"PGfor thematic material.(Rating bulletin 2610 (Cert #52526), 12/25/2019)",115 minutes,Drama,Live Action,Dramatization,"Lionsgate,Erwin Brothers Entertainment,Kingdom Story Company",United States,English,"March 11, 2020","$12,000,000",I Can Only Imagine
https://www.the-numbers.com/movie/Red-Dog-(2020)#tab=summary,Not Rated,105 minutes,Documentary,Live Action,Factual,,"United States,Costa Rica",English,"September 18, 2025",,
https://www.the-numbers.com/movie/Night-House-The#tab=summary,"Rfor some violence/disturbing images, and language including some sexual references.(Rating bulletin 2625 (Cert #52691), 4/15/2020)",107 minutes,Horror,Live Action,Contemporary Fiction,"Anton Capital Entertainment,Phantom Four,Searchlight Pictures",United States,English,"October 16, 2020",,
https://www.the-numbers.com/movie/Way-Back-The-(2020)#tab=summary,"Rfor language throughout including some sexual references.(Rating bulletin 2587 (Cert #52285), 7/17/2019)",108 minutes,Drama,Live Action,Contemporary Fiction,"Mayhem Pictures,Bron Creative,Warner Bros.,Jennifer Todd Pictures,Film Tribe",United States,English,"March 05, 2020","$23,000,000",
https://www.the-numbers.com/movie/Minari#tab=summary,"PG-13for some thematic elements and a rude gesture.(Rating bulletin 2649 (cert#52483), 9/30/2020)",115 minutes,Drama,Live Action,Historical Fiction,Plan B Entertainment,United States,English,"December 11, 2020","$2,000,000",
https://www.the-numbers.com/movie/Padre-no-hay-mas-que-uno-2-La-Ilegada-de-la-suegra-(2020-Spain)#tab=summary,,96 minutes,Comedy,Live Action,Contemporary Fiction,,Spain,Spanish,"July 31, 2020",,Father There is Only One
https://www.the-numbers.com/movie/Takizawa-Enbujo-Zero-(2020-Japan)#tab=summary,,,Multiple Genres,Live Action,Factual,,Japan,Japanese,"December 04, 2020",,
https://www.the-numbers.com/movie/Firestarter-(2022)#tab=summary,"Rfor violent content.(Rating bulletin 2714 (cert #53574), 1/12/2022)",94 minutes,Horror,Live Action,Contemporary Fiction,"Blumhouse,Weed Road Pictures,BoulderLight Pictures,Angry Adam,Universal Pictures",United States,English,"May 19, 2020","$12,000,000",
https://www.the-numbers.com/movie/Ogon-(2020-Russia)#tab=summary,,,Action,Live Action,Contemporary Fiction,,Russian Federation,Russian,"December 24, 2020",,
https://www.the-numbers.com/movie/Personal-History-of-David-Copperfield-The-(UK)#tab=summary,"PGfor thematic material and brief violence.(Rating bulletin 2611 (Cert #52532), 1/8/2020)",119 minutes,Drama,Live Action,Historical Fiction,"FilmNation Entertainment,Film4,Wishmore Entertainment,Searchlight Pictures,Armando Iannucci Productions","United Kingdom,United States",English,"January 24, 2020","$15,600,000",
https://www.the-numbers.com/movie/Nightlife-(Germany)#tab=summary,,111 minutes,Romantic Comedy,Live Action,Contemporary Fiction,,Germany,German,"February 14, 2020",,
https://www.the-numbers.com/movie/Dam-bo-(2020-South-Korea)#tab=summary,,113 minutes,Action,Live Action,Historical Fiction,,Republic of Korea,Korean,"September 29, 2020",,
https://www.the-numbers.com/movie/Hashtag-salaissda-(2020-South-Korea)#tab=summary,,98 minutes,Drama,Live Action,Science Fiction,,Republic of Korea,Korean,"June 24, 2020",,
