link,Production Budget,Running Time,Genre,Production Method,Production/Financing Companies,Production Countries,Languages,Release Date
https://www.the-numbers.com/movie/Scoop-(2006)#tab=summary,"$4,000,000",96 minutes,Comedy,Live Action,Jelly Roll Productions Ltd.,"United States,United Kingdom",English,"July 28, 2006"
https://www.the-numbers.com/movie/Thank-You-For-Smoking-(2006)#tab=summary,"$7,500,000",92 minutes,Black Comedy,Live Action,"Room 9 Entertainment,David O. Sacks,Content Film",United States,English,"March 17, 2006"
https://www.the-numbers.com/movie/Dhoom-2#tab=summary,,152 minutes,Action,Live Action,,India,Hindi,"November 23, 2006"
https://www.the-numbers.com/movie/Employee-of-the-Month-(2006)#tab=summary,"$10,000,000",108 minutes,Comedy,Live Action,Tapestry Films,United States,English,"October 06, 2006"
https://www.the-numbers.com/movie/Accepted#tab=summary,,93 minutes,Comedy,Live Action,"Universal Pictures,Sahdy Acres",United States,English,"August 18, 2006"
https://www.the-numbers.com/movie/Covenant-The#tab=summary,"$20,000,000",97 minutes,Horror,Live Action,"Lakeshore Entertainment,Screen Gems,Sandstorm Films,Spacedog",United States,English,"September 08, 2006"
https://www.the-numbers.com/movie/Just-My-Luck-(2006)#tab=summary,"$28,000,000",103 minutes,Romantic Comedy,Live Action,"Regency Enterprises,New Regency,Cheyenne Enterprises LLC",United States,,"May 12, 2006"
https://www.the-numbers.com/movie/Wicker-Man-The#tab=summary,,103 minutes,Horror,Live Action,"Alcon Entertainment,Millennium Films",United States,English,"September 01, 2006"
https://www.the-numbers.com/movie/Miss-Potter#tab=summary,"$30,000,000",92 minutes,Drama,Live Action,"Phoenix Pictures,Momentum Pictures,Isle of Man Film,UK Film Council,BBC Films,David Kirschner Productions,Weinstein Company","United States,United Kingdom",English,"December 29, 2006"
https://www.the-numbers.com/movie/Wu-ji-(2005-Hong-Kong)#tab=summary,"$30,000,000",128 minutes,Action,Live Action,,Hong Kong,,"May 05, 2006"
https://www.the-numbers.com/movie/Basic-Instinct-2#tab=summary,"$70,000,000",114 minutes,Thriller/Suspense,Live Action,"Metro-Goldwyn-Mayer Pictures,C-2 Pictures,Intermedia Film,IMF,Kanzaman Prods","Germany,Spain,United Kingdom,United States",English,"March 31, 2006"
https://www.the-numbers.com/movie/Bambi-II-(2006)#tab=summary,,72 minutes,Adventure,Hand Animation,,"United States,Australia",English,
https://www.the-numbers.com/movie/Nochnoy-dozor-(2004-Russia)#tab=summary,"$4,200,000",114 minutes,Action,Live Action,,Russian Federation,,"February 17, 2006"
https://www.the-numbers.com/movie/Kabhi-Alvida-Naa-Kehna#tab=summary,"$10,750,000",192 minutes,Drama,Live Action,,India,,"August 11, 2006"
https://www.the-numbers.com/movie/Krrish-(2006-India)#tab=summary,"$10,000,000",175 minutes,Action,Live Action,,India,,"June 23, 2006"
https://www.the-numbers.com/movie/Lage-Raho-Munna-Bhai-(2006-India)#tab=summary,"$2,700,000",145 minutes,Comedy,Live Action,,India,Hindi,"September 01, 2006"
https://www.the-numbers.com/movie/Ultraviolet#tab=summary,"$30,000,000",87 minutes,Action,Live Action,,United States,,"March 03, 2006"
https://www.the-numbers.com/movie/Tazza-The-High-Rollers-(2006-South-Korea)#tab=summary,,139 minutes,Comedy,Live Action,,Republic of Korea,,"September 28, 2006"
https://www.the-numbers.com/movie/American-Haunting-An#tab=summary,"$14,000,000",83 minutes,Horror,Live Action,"Allan Zeman Productions,Midsummer Films,Remstar,Media Pro Pictures,After Dark Films","United Kingdom,Canada,Romania,United States",English,"May 05, 2006"
https://www.the-numbers.com/movie/Stick-It#tab=summary,"$20,000,000",103 minutes,Comedy,Live Action,,United States,,"April 28, 2006"
https://www.the-numbers.com/movie/Pulse#tab=summary,"$20,500,000",85 minutes,Horror,Live Action,,United States,English,"August 11, 2006"
https://www.the-numbers.com/movie/7-Zwerge-Der-Wald-Ist-Nicht-Genug#tab=summary,,,Comedy,,,Germany,German,
https://www.the-numbers.com/movie/Taepung#tab=summary,,,Action,Live Action,,Republic of Korea,,"June 02, 2006"
https://www.the-numbers.com/movie/Rang-De-Basanti#tab=summary,"$5,300,000",,Drama,Live Action,,India,,"January 27, 2006"
https://www.the-numbers.com/movie/Doogal#tab=summary,"$20,000,000",83 minutes,Adventure,Digital Animation,"Weinstein Company,Pathe Pictures,UK Film Council,Pathe Renn Productions,Pricel,France 2 Cinema,Canal Plus,Les Films Action,Bolex Brothers,SPZ Entertainment","France,United Kingdom","French,English","February 24, 2006"
https://www.the-numbers.com/movie/Goal#tab=summary,"$33,000,000",121 minutes,Drama,Live Action,"Milkshake Films,Touchstone Pictures",United States,English,"May 12, 2006"
https://www.the-numbers.com/movie/Stay-Alive-(2006)#tab=summary,"$20,000,000",85 minutes,Horror,Live Action,,United States,English,"March 24, 2006"
https://www.the-numbers.com/movie/Clerks-II#tab=summary,"$5,000,000",97 minutes,Comedy,Live Action,,United States,English,"July 21, 2006"
https://www.the-numbers.com/movie/Prairie-Home-Companion-A#tab=summary,"$10,000,000",105 minutes,Comedy,Live Action,"Sandcastle 5 Productions,Prairie Home Productions",United States,English,"June 09, 2006"
https://www.the-numbers.com/movie/Indigenes-(Days-of-Glory)#tab=summary,"$18,900,000",120 minutes,Drama,Live Action,,"Morocco,France,Belgium,Algeria","French,Arabic","December 15, 2006"
