link,Production Budget,Running Time,Genre,Production Method,Production Countries,Languages,Release Date,Production/Financing Companies
https://www.the-numbers.com/movie/Pazza-Gioia-La-(Italy)#tab=summary,,118 minutes,Comedy,Live Action,"Italy,France",Italian,"May 17, 2016",
https://www.the-numbers.com/movie/United-Kingdom-A#tab=summary,,111 minutes,Drama,Live Action,United Kingdom,English,"October 28, 2016","Pathe,BBC Films,Ingenious Media,BFI,Canal Plus,Cine Plus,Yoruba Saxon,Harbinger Pictures,A Perfect Weekend,Film United"
https://www.the-numbers.com/movie/Saisons-Les-(France)#tab=summary,,95 minutes,Documentary,Live Action,France,French,"January 15, 2016","Galatee Films,Pathe,Pandora Filmproduktion,Winds,Music Box Films,Jerome Seydoux,Jacques Perrin,France 2 Cinema,Rhone-Alpes Cinema,Axone Invest — Invest Image 3,Podlaskie Region,Canal Plus,Cine Plus,France Television,Film- und Medienstiftung NRW,Region Rhone Alps,Region Ile-de-France,Region Provence Alpes,Region Aquitaine,Cirlic Regions - Regions Centre - Val de Loire,CNC,Conseil General de I'ain,Procirep,Angoa Intl,Active Sustainable,Richard Lounsbery Foundation,La Ligue pour la Protection des Oiseaux,Fondation Bettencourt Schueller,Principality of Monaco,Fondation Albert II de Monaco,Rolex,EDF,Center Parcs,Union Europeene"
https://www.the-numbers.com/movie/Darkness-The#tab=summary,"$4,000,000",92 minutes,Horror,Live Action,United States,English,"May 13, 2016","Blumhouse,BH Tilt,Emu Creek Pictures"
https://www.the-numbers.com/movie/Villaviciosa-de-al-lado-(Spain)#tab=summary,,90 minutes,Comedy,Live Action,Spain,Spanish,"December 02, 2016",
https://www.the-numbers.com/movie/Paterson#tab=summary,"$5,000,000",118 minutes,Comedy,Live Action,United States,English,"November 25, 2016","Amazon Studios,K5 International,Le Pacte,Inkjet"
https://www.the-numbers.com/movie/Mogura-no-uta-Hong-Kong-kyoso-kyoku-(Japan)#tab=summary,,128 minutes,,Live Action,Japan,,"December 23, 2016",
https://www.the-numbers.com/movie/Ookami-shoujo-to-kuro-ouji-(Japan)-(2016)#tab=summary,,116 minutes,,,Japan,,"May 27, 2016",
https://www.the-numbers.com/movie/Gosaigyo-no-Onna-(Japan)-(2016)#tab=summary,,127 minutes,,,Japan,Japanese,"August 26, 2016",
https://www.the-numbers.com/movie/Hide-and-Seek-(China)#tab=summary,,105 minutes,Thriller/Suspense,Live Action,China,,"November 04, 2016",
https://www.the-numbers.com/movie/Ma-vie-de-Courgette-(France)#tab=summary,"$8,000,000",66 minutes,Adventure,Stop-Motion Animation,"Switzerland,France",French,"June 02, 2016","Rita Productions,Blue Spirit Productions,Gebeka Films,KNM,Radio Television Suisse,SSR,SRG,Rhone-Alpes Cinema,France 3 Cinema,Helium Films,Office Federal De La Culture,Cineforom,Eurimages,Canal Plus,Centre National du Cinema et de L Image Animee,France Television,Indie Sales Company,Indie Invest,Cine Plus,Suissimage,Region Rhone Alps"
https://www.the-numbers.com/movie/Sekai-kara-neko-ga-kietanara-(Japan)#tab=summary,,103 minutes,Drama,Live Action,Japan,Japanese,"May 13, 2016",
https://www.the-numbers.com/movie/Perfect-Match-The#tab=summary,"$5,000,000",91 minutes,Romantic Comedy,Live Action,United States,English,"March 11, 2016","Lionsgate,Codeblack Films,Jorva Entertainment Productions,Flavor Unit Films"
https://www.the-numbers.com/movie/Beatles-The-Eight-Days-a-Week#tab=summary,,138 minutes,Documentary,Live Action,United States,English,"September 16, 2016","White Horse Pictures,Imagine Entertainment,Apple Corps Ltd.,Diamond Docs"
https://www.the-numbers.com/movie/Tamjung-Hong-Gil-dong-Sarajin-Ma-eul-(South-Korea)#tab=summary,,125 minutes,Action,Live Action,Republic of Korea,Korean,"May 04, 2016","CJ Entertainment,Bidangil Pictures"
https://www.the-numbers.com/movie/Aozora-eru-(Japan)-(2016)#tab=summary,,126 minutes,Drama,,Japan,,"August 19, 2016",
