link,Genre,Production Method,Creative Type,Production Countries,Languages,Release Date,Running Time,Production Budget,MPAA Rating,Production/Financing Companies,Franchise
https://www.the-numbers.com/movie/Moana-2-(2024)#tab=summary,Musical,Digital Animation,Kids Fiction,United States,English,"November 27, 2024",100 minutes,"$150,000,000","PGfor action/peril.(Rating bulletin 2855 (cert #55105), 10/9/2024)",Walt Disney Animation Studios,Moana
https://www.the-numbers.com/movie/Despicable-Me-4-(2024)#tab=summary,Adventure,Digital Animation,Kids Fiction,United States,English,"June 20, 2024",94 minutes,"$100,000,000","PGfor action and rude humor.(Rating bulletin 2826 (cert #54865), 3/20/2024)",Illumination Entertainment,Despicable MeMinions
https://www.the-numbers.com/movie/Wicked-(2024)#tab=summary,Musical,Live Action,Fantasy,United States,English,"November 20, 2024",160 minutes,"$145,000,000","PGfor some scary action, thematic material and brief suggestive material.(Rating bulletin 2850 (cert #55155), 9/3/2024)","Universal Pictures,Marc Platt Productions",Wizard of OzWicked
https://www.the-numbers.com/movie/Mufasa-The-Lion-King-(2024)#tab=summary,Musical,Animation/Live Action,Kids Fiction,United States,English,"December 18, 2024",118 minutes,"$200,000,000","PGfor action/violence, peril and some thematic elements.(Rating bulletin 2852 (cert #55021), 9/18/2024)",Walt Disney Pictures,The Lion King
https://www.the-numbers.com/movie/Dune-Part-Two-(2024)#tab=summary,Action,Live Action,Science Fiction,United States,English,"February 25, 2024",165 minutes,"$190,000,000","PG-13for sequences of strong violence, some suggestive material and brief strong language.(Rating bulletin 2803 (cert #54589), 10/4/2023)","Warner Bros.,Legendary Pictures",Dune
https://www.the-numbers.com/movie/Godzilla-x-Kong-The-New-Empire-(2024)#tab=summary,Action,Live Action,Science Fiction,United States,English,"March 27, 2024",115 minutes,"$135,000,000","PG-13for creature violence and action.(Rating bulletin 2818 (cert #54813), 1/24/2024)","Legendary Pictures,Warner Bros.",GodzillaKing KongMonsterVerse
https://www.the-numbers.com/movie/Kung-Fu-Panda-4-(2024)#tab=summary,Comedy,Digital Animation,Kids Fiction,United States,English,"March 06, 2024",94 minutes,"$85,000,000","PGfor martial arts action, mild violence, scary images and some mild rude humor",DreamWorks Animation,Kung Fu Panda
https://www.the-numbers.com/movie/Sonic-the-Hedgehog-3-(2024)#tab=summary,Adventure,Animation/Live Action,Kids Fiction,"United States,Japan",English,"December 19, 2024",109 minutes,"$122,000,000","PGfor action, some violence, rude humor, thematic elements and mild language.(Rating bulletin 2861 (cert #54995), 11/20/2024)","Paramount Pictures,Sega Sammy Group,Original Film,Marza Animation Planet,Blur Studio",Sonic The Hedgehog
https://www.the-numbers.com/movie/Venom-The-Last-Dance-(2024)#tab=summary,Action,Animation/Live Action,Super Hero,United States,English,"October 23, 2024",109 minutes,"$110,000,000","PG-13for intense sequences of violence and action, bloody images and strong language.(Rating bulletin 2856 (cert #54306), 10/16/2024)",Columbia Pictures,VenomSony’s Marvel Universe
https://www.the-numbers.com/movie/Gladiator-II-(2024)#tab=summary,Action,Live Action,Historical Fiction,"United States,United Kingdom",English,"November 13, 2024",148 minutes,"$250,000,000","Rfor strong bloody violence.(Rating bulletin 2849 (cert #54996), 8/28/2024)","Paramount Pictures,Scott Free Films,Lucy Fisher,Douglas Wick",Gladiator
https://www.the-numbers.com/movie/Beetlejuice-Beetlejuice-(2024)#tab=summary,Comedy,Live Action,Science Fiction,United States,English,"September 04, 2024",144 minutes,"$100,000,000","PG-13for violent content, macabre and bloody images, strong language, some suggestive material and brief drug use.(Rating bulletin 2843 (cert #54915), 7/17/2024)","Plan B Entertainment,Tim Burton,Warner Bros.,Domain Entertainment,Tommy Harper,Marc Toberoff",Beetlejuice
https://www.the-numbers.com/movie/YOLO-(2024-China)#tab=summary,Comedy,Live Action,Contemporary Fiction,China,Mandarin,"February 10, 2024",129 minutes,,"PG-13for some sports violence, language, thematic elements involving attempted suicide, smoking and brief suggestive material.(Rating bulletin 2823 (cert #54858), 2/28/2024)",,
https://www.the-numbers.com/movie/Successor-(2024-China)#tab=summary,Comedy,Live Action,Contemporary Fiction,China,Mandarin,"July 16, 2024",133 minutes,,,,
https://www.the-numbers.com/movie/Pegasus-2-(2024-China)#tab=summary,Drama,Live Action,Contemporary Fiction,China,Mandarin,"February 08, 2024",121 minutes,,,,Pegasus
https://www.the-numbers.com/movie/Bad-Boys-Ride-or-Die-(2024)#tab=summary,Action,Live Action,Contemporary Fiction,United States,English,"June 05, 2024",115 minutes,"$100,000,000","Rfor strong violence, language throughout and some sexual references.(Rating bulletin 2835 (cert #54307), 5/22/2024)","Sony Pictures,Columbia Pictures,Jerry Bruckheimer Films,Westbrook Studios,2.0 Entertainment",Bad Boys
https://www.the-numbers.com/movie/Kingdom-of-the-Planet-of-the-Apes-(2024)#tab=summary,Action,Animation/Live Action,Science Fiction,United States,English,"May 08, 2024",145 minutes,"$160,000,000","PG-13for intense sequences of sci-fi violence/action.(Rating bulletin 2829 (cert #54356), 4/10/2024)","20th Century Studios,Jason T. Reed Productions,Oddball",Planet of the Apes
https://www.the-numbers.com/movie/Twisters-(2024)#tab=summary,Thriller/Suspense,Live Action,Contemporary Fiction,United States,English,"July 11, 2024",122 minutes,"$155,000,000","PG-13for intense action and peril, some language and injury images.(Rating bulletin 2835 (cert #55003), 5/22/2024)","Universal Pictures,Amblin Entertainment,Warner Bros.",Twister
https://www.the-numbers.com/movie/Alien-Romulus-(2024)#tab=summary,Horror,Live Action,Science Fiction,United States,English,"August 14, 2024",119 minutes,"$80,000,000","Rfor bloody violent content and language.(Rating bulletin 2837 (cert #54679), 6/5/2024)","20th Century Studios,Scott Free Films,Brandywine",Alien
https://www.the-numbers.com/movie/It-Ends-With-Us-(2024)#tab=summary,Drama,Live Action,Contemporary Fiction,United States,English,"August 07, 2024",130 minutes,"$25,000,000","PG-13for domestic violence, sexual content and some strong language.(Rating bulletin 2845 (cert #54512), 7/31/2024)","Wayfarer Studios,Sony Pictures",
