link,Running Time,Genre,Production Method,Creative Type,Production Countries,Languages,Release Date,Production Budget,MPAA Rating,Production/Financing Companies,Franchise
https://www.the-numbers.com/movie/African-Cats#tab=summary,89 minutes,Documentary,Live Action,Factual,United States,English,"April 22, 2011",,"G(Rating bulletin 2158, 2/9/2011)","Walt Disney Pictures,Fothergill-Scholey Productions,Disney Nature",
https://www.the-numbers.com/movie/Habemus-Papam#tab=summary,104 minutes,Comedy,Live Action,Contemporary Fiction,"Italy,France","Italian,German,Latin,English,Spanish,Polish,French","December 30, 2011",,Not Rated,"Sofica Coficup,Backup Films,Canal Plus,France Television,Sacher Film,Fandango Portobello,Fandango Le Pact,France 3 Cinema,RAI Cinema",
https://www.the-numbers.com/movie/Young-Adult#tab=summary,94 minutes,Comedy,Live Action,Contemporary Fiction,United States,English,"December 09, 2011","$12,000,000","Rfor language and some sexual content.(Rating bulletin 2196, 11/2/2011)","Paramount Pictures,Mandate Pictures,Mr. Mudd,Right of Way Films,Denver & Delilah Films",
https://www.the-numbers.com/movie/Melancholia#tab=summary,135 minutes,Thriller/Suspense,Live Action,Science Fiction,"Denmark,Sweden,France,Germany",English,"November 11, 2011","$9,400,000","Rfor some graphic nudity, sexual content and language.(Rating bulletin 2189, 9/14/2011)","Zentropa Entertainments,Film i Vast,Memfis Film,Slot Machine,Liberator Productions,DR,ARTE France,SVT,Canal Plus,CNC,Cinecinema,Edition Video,Nordisk Film,TV Fond,Swedish Film Institute,Filmstiftung NRW",
https://www.the-numbers.com/movie/7-gwanggu#tab=summary,101 minutes,Multiple Genres,Live Action,Contemporary Fiction,Republic of Korea,Korean,"August 04, 2011",,,CJ Entertainment,
https://www.the-numbers.com/movie/Rum-Diary-The#tab=summary,122 minutes,Drama,Live Action,Historical Fiction,United States,English,"October 28, 2011","$45,000,000","Rfor language, brief drug use and sexuality.(Rating bulletin 2116, 4/14/2010)","Infinitum Nihil,GK Films",
https://www.the-numbers.com/movie/Guard-The#tab=summary,96 minutes,Comedy,Live Action,Contemporary Fiction,Ireland,English,"July 29, 2011","$6,000,000","Rfor pervasive language, some violence, drug material and sexual content.(Rating bulletin 2168, 4/20/2011)","Reprisal Films,Element Pictures,Prescience,Aegis Film Fund,UK Film Council,Crescendo Productions,Eos Pictures,Irish Film Board",
https://www.the-numbers.com/movie/Red-Dog#tab=summary,92 minutes,Drama,Live Action,Contemporary Fiction,Australia,"English,Italian,Serbian,Russian,Polish","August 04, 2011","$9,100,000","PGfor thematic elements, some language and sensuality.(Rating bulletin 2233, 7/25/2012)",,
https://www.the-numbers.com/movie/Friends-Mononoke-jima-no-Naki#tab=summary,87 minutes,Adventure,Digital Animation,,Japan,Japanese,"December 17, 2011",,,,
https://www.the-numbers.com/movie/Margin-Call#tab=summary,109 minutes,Drama,Live Action,Historical Fiction,United States,English,"October 05, 2011","$3,400,000","Rfor language.(Rating bulletin 2160, 2/23/2011)","Myriad Pictures,Benaroya Pictures,Before The Door,Washington Square Films,Sakonnet Capital Partners,Untitled Entertainment",
https://www.the-numbers.com/movie/Shame#tab=summary,99 minutes,Drama,Live Action,Contemporary Fiction,United Kingdom,English,"December 02, 2011","$6,500,000","NC-17for some explicit sexual content.(Rating bulletin 2195, 10/26/2011)","See-Saw Films,Film4,UK Film Council",
https://www.the-numbers.com/movie/Delhi-Belly#tab=summary,103 minutes,Comedy,Live Action,Contemporary Fiction,India,"English,Hindi","July 01, 2011",,Not Rated,"UTV Communications,Aamir Khan Productions,Ferocious Attack Cow",
https://www.the-numbers.com/movie/Gekijoban-Kamen-Raida-Ozu-Wandafuru-Shogun-to-Niju-ichi-no-Koa-Medaru-Kaizoku-Sentai-Gokaija-Za-Mubi-Sora-Tobu-Yureisen#tab=summary,,,,,Japan,Japanese,,,,,
https://www.the-numbers.com/movie/Rubbeldiekatz#tab=summary,113 minutes,Romantic Comedy,Live Action,Contemporary Fiction,Germany,German,"December 15, 2011",,,,
https://www.the-numbers.com/movie/Andarushia-Megami-No-Houfuku#tab=summary,,,,,Japan,Japanese,,,,,
https://www.the-numbers.com/movie/Heir-Apparent-Largo-Winch-The-(2011)#tab=summary,108 minutes,Action,Live Action,Contemporary Fiction,"France,Belgium,Croatia","French,English,Croatian","November 18, 2011",,Not Rated,"Pan-Europeenne,Wild Bunch,TFI Films,Casa Productions,Areneo Belgium,Sofica,Valor 7,Sgamai Cinema 1,Canal Plus",
